subject_id,split
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001217,calibration
10001725,fit
10001725,fit
10001725,fit
10001725,fit
10001725,fit
10001725,fit
10001725,fit
10001725,fit
10001725,fit
10001725,fit
10001725,fit
10001725,fit
10001725,fit
10001725,fit
10001725,fit
10001725,fit
10001725,fit
10001725,fit
10001725,fit
10001725,fit
10001725,fit
10001725,fit
10001725,fit
10001725,fit
