subject_id,split
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10000032,test
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001217,train
10001725,train
10001725,train
10001725,train
10001725,train
10001725,train
10001725,train
10001725,train
10001725,train
10001725,train
10001725,train
10001725,train
10001725,train
10001725,train
10001725,train
10001725,train
10001725,train
10001725,train
10001725,train
10001725,train
10001725,train
10001725,train
10001725,train
10001725,train
10001725,train
10001725,train
10001725,train
10001725,train
10001725,train
10001725,train
10001725,train
10001725,train
10001725,train
10001725,train
10001725,train
10001725,train
10001725,train
10001725,train
10001725,train
10001725,train
10001725,train
10001725,train
10001725,train
10001725,train
10001725,train
10001725,train
10001725,train
10001725,train
